影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
哈尔滨金逸影城（滨才·憬荟店）,IMAX数字,待定,21.5,11.6,391,-
台北美麗華大直影城,IMAX GT Laser,2016年3月24日,28.8,21.15,404,12聲道音響系統
基隆國立海洋科技博物館,IMAX GT,2013年1月31日,28.4,22,300,"科教影院
位於基隆市中正區北寧路369巷61號"
高雄大遠百威秀影城,IMAX數位,2010年4月29日,15.88,8.16,279,-
台中老虎城威秀影城,IMAX數位,2011年11月25日,15.39,8.56,307,-
台中大遠百威秀影城,IMAX數位,2011年12月30日,18.25,9.35,391,-
新北板橋大遠百威秀影城,IMAX數位,2012年1月5日,21.33,11.46,404,-
新竹巨城威秀影城,IMAX數位,2012年4月28日,17.76,9.69,260,-
台南南紡威秀影城,IMAX數位,2015年1月28日,21.8,12.2,390,-
桃園美麗新台茂影城,IMAX數位,2016年12月29日,17.76,9.75,329,-
花蓮新天堂樂園威秀影城,IMAX Commercial Laser ,2018年12月29日,21.33,12.03,368,"12聲道音響系統
商业影院同时兼具科教影院"
嘉義In89豪華影城,IMAX數位,待定,-,-,-,-
南京科技館,IMAX SR Dome,2005年10月28日,21,-,234,-
南京万达影城(建邺万达广场店) ,IMAX数字,2011年7月,  ,  ,367,-
南京新街口国际影城(德基广场IMAX店),IMAX数字,2016年12月20日,22.81,12.048,398,-
南京万达影城(江宁万达广场店) ,IMAX数字,2013年12月21日,   ,  ,372,-
南京金逸影城IMAX(光美江宁店) ,IMAX数字,2014年11月12日,24.6,12.47,471,-
南京幸福蓝海国际影城(常发IMAX店) ,IMAX数字,2016年9月30日,21.9,11.75,370,-
南京海上明珠国际影城(雨花客厅店) ,IMAX数字,2017年9月19日,23.71,12.25,427,-
南京卢米埃影城(弘阳广场) ,IMAX数字,2018年5月10日,22.75,11.8,311,-
南京万达影城(仙林万达茂店) ,IMAX数字,2018年6月1日,22.85,11.76,345,-
南京万达影城(六合欢乐港店) ,IMAX数字,2018年11月10日,18.85,10.65,243,-
南京幸福蓝海国际影城(燕子矶招商花园城IMAX店) ,IMAX数字,2018年11月30日,21.84,11.41,350,-
南京幸福蓝海国际影城(溧水IMAX店) ,IMAX数字,2018年12月30日,20.49,10.77,330,-
南京金逸影城(溧水时代广场IMAX店) ,IMAX数字,2019年2月5日,22.08,11.64,351,-
南京CGV影城(华采天地店) ,IMAX数字,2019年5月18日,21.3,11.05,236,-
南京幸福蓝海国际影城(IMAX激光环宇城店),IMAX Commercial Laser ,2020年8月15日,21.92,11.45,383,12聲道音響系統
南京博纳国际影城(江北IMAX店) ,IMAX数字,2020年9月19日,18.97,10.3,241,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
南京星轶影城（雨花吾悦广场店）,IMAX数字,2020年11月27日,19.99,10,394,-
南京万达影城(浦口白马店) ,IMAX数字,2021年1月30日,17.53,9.36,214,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
南京卢米埃影城(龙蟠汇IMAX店) ,IMAX数字,2021年1月30日,21.39,11.15,338,-
