影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
中山金逸影城(远洋城IMAX店) ,IMAX数字,2017年1月22日,  ,   ,480,-
中山博纳国际影城(古镇店),IMAX数字,2017年10月20日,20.39,10.47,333,-
中山金逸影城(樱花里IMAX店),IMAX数字,2019年8月1日,25.18,13.36,385, -
中山CGV影城（百汇店）,IMAX数字,2019年9月24日,24.09,13.37,427, -
江门CGV影城(蓬江店) ,IMAX数字,2014年8月26日,  ,  ,269,-
江门万达影城(新会IMAX店) ,IMAX数字,2018年8月31日,-,-,350,-
湛江中影星美影城 ,IMAX数字,2014年12月20日,  ,  ,472,-
湛江万达影城(万达广场店),IMAX数字,2016年6月25日,   ,   ,332,-
湛江金逸影城IMAX(光美赤坎店) ,IMAX数字,2017年8月27日,  ,   ,317,-
珠海幸福蓝海国际影城 ,IMAX数字,2018年11月2日,19.65,9.74,255,-
珠海幸福蓝海国际影城 (华发店) ,IMAX数字,待定,-,-,-,-
汕头星城影院(正大卜蜂中心店),IMAX数字,2016年2月6日,18.4,10.21,328,-
汕头CGV影城(群光汇店),IMAX数字,2019年4月26日,21.21,11.17,243,-
汕头万达影院(金平万达广场店),IMAX数字,2020年8月9日,21.18,10.99,396,-
梅州万达影城(万达广场店) ,IMAX数字,2016年9月23日,20.4,   ,325,-
清远万达影城(清城万达广场店) ,IMAX数字,2016年12月29日,  ,  ,419,-
茂名万达影城(电白万达广场店),IMAX数字,2019年12月,21.07,11.15,361,-
茂名东汇国际影城,IMAX Commercial Laser ,2019年12月25日,,,343,12聲道音響系統
肇庆星轶影城(敏捷广场店),IMAX数字,2020年11月,22.24,11.57,361,-
淮安万达影城(万达广场店) ,IMAX数字,2011年11月8日,18.62,10.26,291,-
淮安万达影城(玖珑汇广场店) ,IMAX数字,2017年12月30日,   ,  ,311,-
泰州万达影城(万达广场店) ,IMAX数字,2011年12月9日,21.38,11.123,319,-
泰州星轶影城(泰兴吾悦广场IMAX店) ,IMAX数字,2018年11月23日,  ,  ,209,-
泰州金逸影城(姜堰店) ,IMAX数字,2020年12月23日,-,-,-,-
苏州苏艺影城(艺术中心店),IMAX数字,2010年6月12日,21.3,13.3,384,中國大陸地區第7家IMAX影院，同时也是IMAX科教影院
苏州幸福蓝海国际影城(石路IMAX店) ,IMAX数字,2017年10月11日,26.09,13.86,402,-
苏州金逸影城(亿象城店) ,IMAX数字,2012年4月27日,19.1,11.24,368,-
苏州万达影城(平江万达广场店) ,IMAX数字,2017年12月6日 ,  ,  ,342,-
苏州万达影城(吴中万达广场店) ,IMAX数字,2015年12月11日,22.52,11.79,376,-
苏州幸福蓝海国际影城(绿宝IMAX店) ,IMAX数字,2015年12月26日,24.06,12.82,347,-
苏州耳东影城,IMAX数字,2016年10月21日,  ,  ,359,-
苏州幸福蓝海国际影城(文体中心IMAX店) ,IMAX数字,2017年8月25日,22.78,12.15,313,-
苏州CGV影城(苏州中心店) ,IMAX数字,2017年11月11日,23.38,12.24,294,-
苏州万达影城奥体中心店),IMAX数字,2019年1月18日,  ,  ,310,-
苏州万达影城(新湖广场店),IMAX数字,2019年6月28日,-,-,-,-
太仓万达影城(万达广场店) ,IMAX数字,2012年12月7日,20.3,12.6,363,-
昆山保利国际影城(文化艺术中心店),IMAX数字,2013年3月8日,  ,  ,340,-
昆山万达影城(万达广场店),IMAX数字,2017年7月5日,19.4,10.76,363,-
昆山万象影城（万象汇激光IMAX店) ,IMAX Commercial Laser ,2019年11月12日,22.85,11.76,443,5.1聲道音響系統
张家港幸福蓝海国际影城(IMAX店) ,IMAX数字,2014年10月31日,24.7,14.85,402,-
张家港万达影城(万达广场店),IMAX数字,2018年12月28日,22.85,11.76,403,-
常熟万达影城(万达广场店),IMAX数字,2017年7月20日,21.71,11.34,361,-
常州万达影城(新北万达广场店) ,IMAX数字,2017年11月30日,21.2,10.997,337,-
常州幸福蓝海橙天嘉禾影城 ,IMAX数字,2012年12月31日,24.08,13.597,552,-
常州万达影城(武进万达广场店) ,IMAX数字,2014年8月8日,  ,  ,411,-
常州幸福蓝海国际影城(九洲IMAX店) ,IMAX数字,2015年9月26日,21.5,11.21,331,-
常州SFC上影影城(月星环球港店),IMAX数字,2016年1月8日,  ,  ,547,-
常州幸福蓝海国际影城(溧阳上河城IMAX店) ,IMAX数字,2016年12月9日,21.32,11.26,386,-
常州CGV影城(龙城天街店),IMAX数字,2018年9月28日,20.22,10.49,207,-
常州星轶IMAX影城（金坛吾悦广场旗舰店）,IMAX数字,2016年12月8日,25.14,13.43,442,-
无锡万达影城(滨湖万达广场店) ,IMAX数字,2018年11月1日 ,23.21,11.968,403,-
无锡万达影城(惠山万达广场店) ,IMAX数字,2013年7月1日,24.63,12.825,409,-
无锡橙天嘉禾影城(万象城店),IMAX数字,2014年12月20日,21,12,435,-
无锡CGV影城(盛岸店) ,IMAX数字,2015年7月1日,21.2,11.7,380,-
无锡萬達影城（融创茂店）,IMAX数字,2019年6月29日,21.18,11.03,353,-
无锡万达影城(新吴万达广场店) ,IMAX数字,2020年7月30日,,,354,-
无锡大世界影城 ,IMAX Commercial Laser ,2020年9月30日,20.82,10.83,378,12聲道音響系統
无锡金逸影城(荟聚店) ,IMAX Commercial Laser ,2020年9月30日,23.22,12.68,355,12聲道音響系統
无锡CGV影城(八佰伴店) ,IMAX Commercial Laser ,2020年12月29日,20.34,10.73,172,12聲道音響系統
宜兴万达影城(万达广场店) ,IMAX数字,2013年5月28日,21.32,11.3,421,-
江阴万达影城(万达广场店) ,IMAX数字,2012年9月15日,  ,  ,363,-
江阴金逸影城(美嘉城IMAX店) ,IMAX数字,2017年10月27日,25.75,13.86,349,-
江阴幸福蓝海国际影城(南门印象IMAX店),IMAX数字,2019年12月28日,22.16,11.97,325,-
镇江万达影城(万达广场店) ,IMAX数字,2011年8月12日,16.87,8.722,244,-
镇江星轶IMAX影城（丁卯吾悦广场旗舰店）,IMAX数字,2017年8月25日,20.02,10.32,324,-
丹阳幸福蓝海国际影城(八佰伴店) ,IMAX数字,2016年12月9日,25.8,13.89,434,-
徐州万达影城(云龙万达广场店) ,IMAX数字,2013年12月6日,21.5,10.8,350,-
徐州万达影城(铜山万达广场店) ,IMAX数字,2016年10月28日,21.85,11.65,372,-
南通万达影城(五洲广场店) 永久关闭,IMAX数字,2014年10月31日,  ,  ,278,2020年9月28日闭店
南通幸福蓝海国际影院(IMAX店) ,IMAX数字,2015年1月10日,   ,  ,436,-
南通万达影城(星光耀广场店) ,IMAX数字,2015年9月27日,  ,  ,301,-
南通万达影城(港闸万达广场店) ,IMAX数字,2015年12月11日,  ,  ,390,-
南通幸福蓝海国际影院(海门IMAX店),IMAX数字,2017年12月23日,,,429,-
南通万达影城（通州万达广场店） ,IMAX数字,2014年11月29日,19.8,11,370,-
南通星轶IMAX影城（如皋吾悦广场旗舰店）,IMAX数字,2017年11月17日,21.5,11.3,318,-
南通CGV影城(万象城店),IMAX数字,2019年6月5日,21.28,11.28,  ,-
南通金逸影城(大有境IMAX店),IMAX数字,待定,23.41,12.87,317,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
盐城CGV影城(中南城店),IMAX数字,2014年11月14日,  ,  ,357,-
盐城万达影城(万达广场店) ,IMAX数字,2017年6月23日,,  ,372,-
盐城幸福蓝海国际影城(悦达IMAX店) ,IMAX数字,2020年11月13日,24.59,13.6,380,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
东台幸福蓝海国际影城,IMAX数字,待定,22.23,12.13,345,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
扬州幸福蓝海国际影城(IMAX店) ,IMAX数字,2014年12月24日,24.17,12.55,399,-
扬州上影四方国际影城,IMAX数字,2016年1月16日,  ,  ,282,-
扬州星轶IMAX影城（邗江吾悦广场旗舰店）,IMAX数字,2018年9月28日,26.09,13.88,362,-
扬州幸福蓝海国际影院(佳源IMAX店),IMAX数字,2018年1月4日,25.1,13.03,485,-
连云港万达影城(万达广场店) ,IMAX数字,2016年11月18日,20.07,10.63,388,-
连云港星轶IMAX影城（民主路文化街旗舰店）,IMAX数字,2018年2月3日,20.76,10.8,250,-
宿迁幸福蓝海国际影城(中央商场IMAX店) ,IMAX数字,2017年12月24日,24.46,12.78,343,-
沭阳幸福蓝海国际影城(中央广场店),IMAX数字,2019年9月28日,21.98,11.49,295,-
沭阳万达影城(万达广场店),IMAX数字,2019年12月28日,,,328,-
长沙CGV影城(岳麓店) ,IMAX数字,,  ,  ,398,-
长沙万达影城(开福万达广场店) ,IMAX数字,2013年9月27日,23.16,13.46,440,-
长沙CGV影城(德思勤店) ,IMAX数字,2015年7月30日,   ,  ,268,-
长沙CGV影城(星沙店) ,IMAX数字,2015年11月17日,  ,  ,298,-
长沙万达影城(梅溪湖步步高店) ,IMAX数字,2016年7月30日,  ,  ,426,-
长沙CGV影城(梅溪湖店) ,IMAX数字,2016年11月25日,  ,  ,402,-
长沙横店IMAX影城(悠游小镇店) ,IMAX数字,2018年8月15日,  ,  ,249,-
长沙金逸影城(福晟IMAX店) ,IMAX数字,2018年12月22日,  ,  ,305,-
长沙泰禾影城(开福IMAX店) ,IMAX数字,2019年1月26日,  ,  ,361,-
长沙万达影城（解放路悦荟广场店）,IMAX Commercial Laser ,2019年9月30日,23.21,12.3,430,"5.1聲道音響系統
中國大陸地區第8家IMAX影院"
长沙万达影城(中茂城店) ,IMAX数字,2019年4月24日,21.82,11.4,324,-
郴州万达影城(生源购物中心店) ,IMAX数字,2019年9月26日,22.75,11.7,384,-
湘潭万达影城(万达广场店) ,IMAX数字,2016年6月10日,22.54,11.84,327,-
湘潭横店电影城 ,IMAX数字,2016年8月22日,  ,  ,280,-
常德万达影城(万达广场店) ,IMAX数字,2016年9月16日,  ,   ,357,-
益阳万达影城(万达广场店) ,IMAX数字,2017年6月23日,  ,  ,429,-
衡阳万达影城(万达广场店) ,IMAX数字,2017年9月29日,20.22,10.43,368,-
衡阳金逸影城(中心城店) ,IMAX数字,2018年9月30日,  ,  ,486,-
岳阳CGV影城(步步高店) ,IMAX数字,2018年2月12日,  ,  ,280,-
邵阳万达影城(大汉悦店) ,IMAX数字,2019年9月30日,-,-,231,-
长春万达影城(欧亚大卖场店) ,IMAX数字,2010年6月12日,  ,,556,中國大陸地區第10家IMAX影院
长春万达影城(红旗街万达广场店) ,IMAX数字,2010年10月29日,  ,  ,383,-
长春万达影城(重庆路万达广场店) ,IMAX数字,2011年12月,22.71,12.28,374,-
长春万达影城(宽城万达广场店) ,IMAX数字,2013年8月16日,,  ,413,-
长春万达影城(繁荣路力旺中心店) ,IMAX数字,2016年6月7日,  ,  ,325,-
长春星轶IMAX影城(绿园吾悦广场旗舰店),IMAX数字,2017年7月28日,25.98,13.85,530,-
长春万达影城(车城万达广场店) ,IMAX数字,2017年9月8日,  ,  ,370,-
长春万达影城(栖乐荟广场店) ,IMAX数字,2017年9月23日,24.03,12.4,370,-
长春寰映影城 (摩天活力城店),IMAX数字,2019年1月26日,23.1,11.75,415,-
长春万达影城 (钜城华億广场店),IMAX数字,2020年7月25日,-,-,329,-
吉林万达影城(欧亚商都店) ,IMAX数字,2014年12月28日,  ,  ,335,-
吉林万达影城(华业广场店) ,IMAX数字,2015年12月22日,  ,  ,328,-
吉林万达影城(昌邑万达广场店) ,IMAX数字,2017年9月15日,21.72,11.34,350,-
四平万达影城(万达广场店) ,IMAX数字,2016年7月1日,  ,  ,374,-
四平万达影城(颐高产业园店) ,IMAX数字,2018年12月30日,  ,  ,307,-
延吉万达影城(万达广场店) ,IMAX数字,2016年9月9日,  ,  ,377,-
天津万达影城(河东万达广场店 ) ,IMAX数字,2017年3月20日 ,23.77,12.34,398,-
天津CGV星星影城(滨海店) ,IMAX数字,2016年2月1日,16.45,8.68,332,-
天津金逸影城(大悦城IMAX店) ,IMAX数字,2012年6月22日,21.95,12.1,511,-
天津农垦博纳国际影城 ,IMAX数字,2012年9月28日,20.54,11.18,406,-
天津CGV影城(于家堡店) ,IMAX数字,2015年12月1日,23.89,13.83,345,-
天津金逸影城(大港IMAX店) ,IMAX数字,2016年12月21日,19.7,10.5,370,-
天津SFC上影影城(天河城店),IMAX数字,2017年6月26日,18.89,10.48,286,-
天津万达影城(西青社会山广场店) ,IMAX数字,2018年1月5日,18.98,9.8,229,-
天津万象影城（万象城IMAX激光店),IMAX Commercial Laser ,2021年1月24日,24.52,12.82,365,12聲道音響系統
天津万达影城（河东万达广场店）,IMAX数字,"2017年3月20日
",23.77,12.34,398,12聲道音響系統
天津中影国际影城(和平津湾店) IMAX影厅关闭,IMAX数字,2010年1月4日,21.3,12.1,377, 已于2021年3月11日闭店
齐齐哈尔万达影城(万达广场店) ,IMAX数字,2015年8月1日,  ,  ,353,-
佳木斯万达影城(万达广场店) ,IMAX数字,2015年9月12日,21.4,11.39,374,-
鸡西万达影城(万达广场店) ,IMAX数字,2016年7月15日,  ,  ,431,-
牡丹江万达影城(万达广场店) ,IMAX数字,2016年7月22日,  ,  ,326,-
绥化万达影城(万达广场店),IMAX数字,2018年10月1日,20.05,10.7,364,-
大连万达影城(华府悦荟广场店) ,IMAX数字,2015年11月25日 ,19.94,11.11,321,-
大连万达影城(高新万达广场店) ,IMAX数字,2013年5月25日,22.08,12.13,400,-
大连CGV影城(东港店) ,IMAX数字,2015年3月13日,21.76,12.73,406,-
大连SFC上影影城(百年港湾店),IMAX数字,2016年1月15日,19.96,11.07,312,-
大连万达影城(普兰店万达广场店) ,IMAX数字,2017年7月29日,15.25,8.94,290,-
大连万达影城(庄河万达广场店),IMAX数字,2017年8月18日,15.5,8.86,274,-
大连博纳影城(中央大道店) ,IMAX数字,2017年11月20日,24.83,14.07,467,IMAX中国第500家IMAX影院
大连万达影城（甘井子万达广场店）,IMAX数字,2017年9月29日,21.14,11,338,-
大连万达影城(金州瑞栢中心店) ,IMAX数字,2018年1月19日,19.63,10.98,315,-
大连万达影城(经开万达广场店),IMAX Commercial Laser ,2019年6月1日,22.01,11.51,344,12聲道音響系統 
盘锦CGV影城(兴隆台店) ,IMAX数字,2013年1月6日,  ,  ,300,-
抚顺万达影城(万达广场店) ,IMAX数字,2021年3月10日,21.8,11.76,394,-
丹东万达影城(万达广场店) ,IMAX数字,2013年12月20日,20.69,11.75,367,-
营口万达影城(万达广场店) ,IMAX数字,2015年6月19日,  ,  ,381,-
营口万达影城(鲅鱼圈万达广场店) ,IMAX数字,2016年11月19日,  ,  ,388,-
朝阳万达影城(万达广场店) ,IMAX数字,2016年11月26日,20.14,10.67,423,-
辽阳万达影城(万达广场店) ,IMAX数字,2017年7月28日,20.75,10.8,385,-
锦州万达影城(万达广场店) ,IMAX数字,2017年9月1日,  ,  ,397,-
本溪万达影城(万达广场店) ,IMAX数字,2018年12月21日,22.03,11.52,352,-
鞍山万达影城(万达广场店),IMAX数字,2019年8月10日,23.71,12.7,-,-
石家庄万达影城(裕华万达广场店) ,IMAX数字,2011年9月23日,23.21,11.95,385,-
石家庄万象影城（万象城店）,IMAX Commercial Laser ,2018年11月10日,25.07,13.19,358,5.1聲道音響系統
石家庄CGV影城(中冶IMAX店),IMAX数字,2020年1月18日,-,-,290,-
石家庄万达影城（裕华万达广场店）,IMAX数字,2017年3月22日,23.21,11.95,385,12聲道音響系統
唐山万达影城(路南万达广场店) ,IMAX数字,2011年12月23日,23.21,11.968,357,-
廊坊华谊兄弟影城(燕郊天洋城店) ,IMAX数字,2017年12月26日,16.89,8.62,256,-
邯郸CGV影城(环球中心店) ,IMAX数字,2018年7月31日,-,-,239,-
邯郸万达影城(万达广场店) ,IMAX数字,-,-,-,392,-
邢台万达影城(万达广场店) ,IMAX数字,2018年11月2日,  ,  ,306,-
秦皇岛万达影城(万达广场店) ,IMAX数字,2019年11月22日,  ,  ,306,-
济南万达影城(魏家庄万达广场店) ,IMAX数字,2010年11月,20.24,11.02,362,-
济南幸福蓝海国际影城(全运村中央广场IMAX店) ,IMAX数字,2018年2月9日,24.57,12.9,371,-
济南CGV影城(印象城店),IMAX数字,2019年6月1日,20.54,10.48,225,-
济南万象影城（万象城激光IMAX店）,IMAX Commercial Laser ,2019年9月28日,22.85,11.73,396,5.1聲道音響系統
济南万达影城(高新万达广场店) ,IMAX Commercial Laser ,2019年11月15日,23.02,11.85,360,12聲道音響系統
济南金逸影城(汇隆广场IMAX店) ,IMAX数字,待定,  ,  ,406,-
青岛万达影城(李沧万达广场店) ,IMAX数字,2012年9月21日,  ,  ,348,-
青岛CGV影城(万象城店) ,IMAX数字,2015年4月30日,   ,  ,442,-
青岛SFC上影影城(金狮广场店),IMAX数字,2016年4月28日,  ,   ,291,-
青岛CGV影城(新都心店) ,IMAX数字,2016年6月28日,   ,  ,229,-
青岛星轶IMAX影城（黄岛吾悦广场旗舰店）,IMAX数字,2016年9月29日,22.92,11.9,321,-
青岛万达影城(东方影都店) ,IMAX数字,2018年4月28日,  ,  ,374,-
青岛万达影城(青特万达广场店) ,IMAX数字,2019年11月8日,24.11,12.57,-,-
青岛万达影城（CBD万达广场店）,IMAX Commercial Laser ,2017年9月7日,21.2,10.997,374,-
潍坊万达影城(万达广场店) ,IMAX数字,2014年5月23日,22.51,11.79,394,-
潍坊万达影城(寿光万达广场店) ,IMAX数字,2018年12月29日,20.34,10.49,342,-
济宁万达影城(太白路万达广场店) ,IMAX数字,2014年7月5日,  ,  ,350,-
烟台幸福蓝海国际影城(IMAX店) ,IMAX数字,2014年9月26日,21.21,11.27,426,-
烟台万达影城(芝罘万达广场店) ,IMAX数字,2014年11月21日,  ,  ,409,-
烟台CGV影城(长江路店) ,IMAX数字,2016年5月27日,  ,  ,321,-
东营万达影城(万达广场店) ,IMAX数字,2015年8月15日,   ,  ,389,-
东营万达影城(东城万达广场店) ,IMAX数字,2018年7月12日,  ,  ,332,-
泰安万达影城(万达广场店) ,IMAX数字,2015年8月21日,   ,  ,414,-
德州万达影城(万达广场店) ,IMAX数字,2015年11月6日,   ,  ,367,-
滨州万达影城(万达广场店) ,IMAX数字,2016年12月30日,  ,  ,431,-
枣庄万达影城(万达广场店) ,IMAX数字,2017年6月23日,  ,  ,390,-
菏泽万达影城(万达广场店) ,IMAX数字,2018年11月16日,20.9,10.85,368,-
临沂CGV影城(泰盛店) ,IMAX数字,2018年12月21日,20.9,11.11,245,-
日照万达影城(万达广场店) ,IMAX数字,2019年12月12日,-,-,-,-
淄博齐纳国际影城（银座店）,IMAX Commercial Laser ,2018年12月23日,22.04,11.55,317,12聲道音響系統
淄博万达影城(富力万达广场店) ,IMAX数字,2020年7月30日,19.36,10.15,342,-
威海万达影城(环翠万达广场店) ,IMAX数字,2020年12月3日,19.3,10.31,304,-
合肥万达影城(包河万达广场店),IMAX数字,2015年11月13日,22.81,11.968,374,-
合肥万达影城(天鹅湖万达广场店) ,IMAX数字,2019年1月8日,  ,  ,378,-
合肥英皇电影城(万象城店) ,IMAX数字,2015年10月15日,21.85,11.57,408,-
合肥万达影城(瑶海万达广场店) ,IMAX数字,2016年9月9日,23.66,12.6,319,-
合肥万达影城(万达文化旅游城店) ,IMAX数字,2016年9月24日,22.36,11.71,355,-
合肥华谊兄弟影院(武里山天街店) ,IMAX数字,2017年8月18日,21.61,11.49,385,-
合肥万达影城(宝利丰广场店) ,IMAX数字,2017年12月30日,23.39,12.16,343,-
合肥万达影城(巢湖万达广场店) ,IMAX数字,2018年11月2日,22.17,11.64,369,-
合肥万达影城(万科广场店),IMAX数字,2019年5月11日,-,-,317,-
合肥博纳国际影城(瑶海龙湖天街店),IMAX数字,2019年12月12日,-,-,247,-
芜湖万达影城(镜湖万达广场店) ,IMAX数字,2012年9月7日,  ,  ,355,-
芜湖万达影城(华强广场店) ,IMAX数字,2016年12月17日,  ,  ,346,-
芜湖幸福蓝海国际影城 ,IMAX数字,2017年1月28日,25.58,13.78,411,-
蚌埠万达影城(万达广场店) ,IMAX数字,2021年2月2日 ,21.85,11.76,402,-
马鞍山万达影城(万达广场店) ,IMAX数字,2014年9月19日,    ,  ,409,-
铜陵万达影城(北斗星城广场店) ,IMAX数字,2014年11月28日,   ,  ,348,-
铜陵万达影城(万达广场店) ,IMAX数字,2017年11月10日,   ,  ,387,-
阜阳万达影城(颍州万达广场店) ,IMAX数字,2015年9月5日,  ,  ,427,-
阜阳东方巨幕影城 ,IMAX数字,2017年2月7日,  ,  ,409,-
阜阳万达影城(颍泉万达广场店) ,IMAX数字,2017年6月16日,  ,  ,411,-
亳州万达影城(万达广场店) ,IMAX数字,2016年8月12日,  ,  ,399,-
宿州万达影城(万达广场店) ,IMAX数字,2016年12月2日,  ,  ,401,-
安庆星轶IMAX影城（安庆吾悦广场旗舰店）,IMAX数字,2016年12月23日,20.96,11.17,342,-
安庆SFC上影影城（百联店） 关闭,IMAX数字,2017年11月10日,  ,  ,461,-
淮北金逸影城(IMAX店) ,IMAX数字,2016年12月24日,20.99,11.07,440,-
淮北万达影城(万达广场店) ,IMAX数字,2018年9月28日,20.96,10.85,370,-
六安万达影城(万达广场店) ,IMAX数字,2016年12月31日,20.26,10.73,412,-
黄山金逸影城IMAX(光美黎阳店) ,IMAX数字,2017年1月24日,20.98,11,333,-
宣城万达影城(万达广场店) ,IMAX数字,2018年6月29日,  ,  ,332,-
淮南星轶IMAX影城（淮南吾悦广场旗舰店）,IMAX数字,2018年8月31日,25.49,13.48,389,-
淮南万达影城(万达广场店),IMAX数字,2018年9月7日,-,-,365,-
滁州万达影城(万达广场店),IMAX数字,2019年8月24日,21.5,11.22,325,-
杭州百老汇影城 ,IMAX数字,2010年8月6日,  ,  ,460,-
浙江新远国际影城IMAX,IMAX数字,2010年9月21日,  ,  ,350,-
杭州万达影城(水晶城店) ,IMAX数字,2014年12月5日,  ,  ,311,-
杭州万达影城(拱墅万达广场店) ,IMAX数字,2014年12月12日,  ,  ,348, IMAX中国第200家IMAX影院
杭州佳映国际影城(五洲国际广场店) ,IMAX数字,2015年3月29日,  ,  ,411,-
杭州SFC上影影城(龙湖店) ,IMAX数字,2015年9月26日,  ,  ,376,-
杭州德纳国际影城(萧山IMAX店) ,IMAX数字,2015年11月4日,  ,  ,342,-
杭州金逸影城电影街(影视中心IMAX店) ,IMAX数字,2016年1月29日,20.71,10.8,356,-
杭州悦江新远影城IMAX,IMAX数字,2016年12月16日,22.01,12.6,511,-
杭州海上明珠国际影城(滨江店),IMAX数字,2017年5月28日,18.53,10.01,340,-
杭州CGV影城(乐堤港店) ,IMAX数字,2017年6月29日,  ,  ,393,-
杭州CGV影城(滨江天街店) ,IMAX数字,2017年9月23日,  ,  ,400,-
杭州东影时代影城(西溪店) ,IMAX数字,2018年2月2日,   ,  ,369,-
杭州新天地新远影城 IMAX,IMAX数字,2018年2月9日,   ,  ,439,-
杭州博纳国际影城（临平IMAX店）,IMAX数字,2018年6月23日,-,-,288,-
杭州SFC上影影城(余之城店) ,IMAX数字,2018年7月20日,  ,  ,256,-
杭州博纳国际影城（西溪店）,IMAX数字,2018年8月11日,   ,  ,363,-
杭州万达影城(崇贤上亿广场店) ,IMAX数字,2018年11月9日,   ,  ,317,-
宁波万达影城(鄞州万达广场店) ,IMAX数字,2011年7月21日,  ,  ,336,-
宁波万达影城(江北万达广场店) ,IMAX数字,2018年11月8日,23.21,12.053,376,-
宁波CGV影城(文化广场店) ,IMAX数字,2013年10月22日,21.67,11.9,416,-
宁波CGV影城(鄞州店) ,IMAX数字,2014年12月29日,21.39,11.092,358,-
宁波星美国际影城(奥特莱斯店) ,IMAX数字,2016年3月12日,  ,  ,368,-
宁波博纳国际影城(北仑店) ,IMAX数字,2017年10月27日,  ,  ,324,-
宁波星轶IMAX影城（镇海吾悦广场旗舰店）,IMAX数字,2017年11月24日,  ,  ,388,-
宁波万达影城(奉化万达广场店) ,IMAX数字,2018年5月24日,20.66,10.73,388,-
宁波万象影城 (万象城店) ,IMAX Commercial Laser ,待定,,,,聲道音響系統
宁波幸福蓝海国际影城(中海环宇城店) ,IMAX数字 ,待定,-,-,-,-
宁波万达影城（鄞州万达广场店）,IMAX数字 ,2011年7月21日,  ,  ,336,12聲道音響系統
余姚万达影城(万达广场店) ,IMAX数字,2013年11月1日,20.84,11.06,302,-
余姚CGV影城(城东店) ,IMAX数字,2014年6月28日,  ,  ,375,-
慈溪中影星美国际影城(保利店) ,IMAX数字,2016年6月2日,  ,  ,454,-
丽水万地国际影城,IMAX数字,2013年11月9日,   ,  ,400,-
绍兴万达影城(柯桥万达广场店) ,IMAX数字,2010年12月17日,   ,  ,316,-
绍兴卢米埃影城(银泰城店) ,IMAX数字,2015年1月10日,  ,  ,393,-
绍兴万达影城(上虞万达广场店) ,IMAX数字,2016年11月25日,   ,  ,361,-
绍兴星轶IMAX影城（嵊州吾悦广场旗靓店）,IMAX数字,2017年10月27日,  ,  ,372,-
嵊州金逸IMAX影城(和悦时代广场店) ,IMAX数字,2018年5月21日,  ,  ,287,-
金华万达影城(万达广场店) ,IMAX数字,2014年7月25日,21.86,11.64,417,-
义乌万达影城(万达广场店) ,IMAX数字,2016年8月26日,26.56,14.41,377,-
义乌上影X-CINEMA影城,IMAX数字,2017年4月14日,  ,  ,399,-
义乌保利国际影城(义乌之心店) ,IMAX数字,2017年8月19日,26.88,  ,322,-
嘉兴万达影城(万达广场店) ,IMAX数字,2015年6月12日,  ,  ,373,-
嘉兴星轶IMAX影城（桐乡吾悦广场旗舰店）,IMAX数字,2017年5月26日,  ,  ,394,-
诸暨万达影城(万达广场店) ,IMAX数字,2017年7月27日,  ,  ,352,-
温州万达影城(龙湾万达广场店),IMAX数字,2012年11月30日,22.3,11.702,392,-
温州万达影城(平阳万达广场店) ,IMAX数字,2014年12月6日,  ,  ,430,-
温州卢米埃影城(万象城店) ,IMAX数字,2016年5月28日,  ,  ,361,-
温州博纳国际影城（5050店） ,IMAX数字,2018年11月16日,21.25,11.08,304,-
温州万达影城(南塘店),IMAX数字,2018年12月30日,21.92,11.41,310,-
乐清虹桥神画 IMAX 影城,IMAX数字,2019年5月24日,-,-,383,-
台州万达影城(台州万达广场店) ,IMAX数字,2016年6月17日,  ,  ,357,-
台州万达影城(中盛广场店) ,IMAX数字,2016年11月11日,21.55,  ,374,-
台州金逸影城(万嘉广场IMAX店),IMAX数字,2019年7月19月,-,-,408,-
温岭0090 IMAX影城 ,IMAX数字,2017年7月27日,  ,  ,512,-
湖州万达影城(万达广场店) ,IMAX数字,2016年12月23日,21.59,11.26,361,-
衢州星轶IMAX影城（衢州吾悦广场旗舰店）,IMAX数字,2017年6月16日,24.46,12.8,373,-
衢州万达影城(经开万达广场店) ,IMAX数字,2017年12月15日,21.32,11.1,369,-
海宁传奇电影中心 ,IMAX数字,2018年1月1日,  ,,285,-
舟山保利国际影城(绿城长峙IMAX店) ,IMAX数字,2019年9月30日,21.82,11.38,274,-
西安大明宫IMAX影院 ,IMAX数字,2011年7月21日,21.34,12,293,-
西安万达影城(民乐园万达广场店) ,IMAX数字,2011年11月8日,21.18,10.927,367,-
西安万达影城(碑林万达广场店) ,IMAX数字,2013年10月1日,  ,  ,294,-
西安万达影城(大明宫万达广场店) ,IMAX数字,2013年11月22日,  ,  ,368,-
西安CGV影城(印象城店) ,IMAX数字,2015年9月30日,20.06,10.84,288,-
西安开顿IMAX国际影城,IMAX数字,2016年11月18日,26.11,14.09,474,-
西安万达影城(龙城铭园店) ,IMAX数字,2017年12月30日,22.96,11.93,302,-
西安博纳国际影城 ,IMAX数字,2018年12月21日,  ,  ,421,-
西安卢米埃影城(曲江创业谷IMAX店) ,IMAX数字,2018年12月30日,  ,  ,268,-
西安长江银兴影城(御锦城店),IMAX数字,2019年7月12日,21.82,11.59,283,-
渭南万达影城(万达广场店) ,IMAX数字,2015年8月7日,  ,  ,394,-
